repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
ManageIQ/ui-components,2104b49468cca716693da6d7ff7053e2101b9c99,e4f036c49f2f4860dc93d449869ba5a71bb76094,master,1522940562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,18,48,0,0,71,2
ManageIQ/ui-components,e4f036c49f2f4860dc93d449869ba5a71bb76094,e9a728076a8b002c10d2dc121e0a8428c31d1db1,master,1522933095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,4,0,5,4
ManageIQ/ui-components,e9a728076a8b002c10d2dc121e0a8428c31d1db1,facd4db8f0fd50a653115848fa45d917fd6dd468,master,1522855020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,18,0
ManageIQ/ui-components,facd4db8f0fd50a653115848fa45d917fd6dd468,309c0047501df6f3b9a173d8ccc1e752407ea66d,v1.1.10,1522317626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,309c0047501df6f3b9a173d8ccc1e752407ea66d,0934ad8586e0aba8b3e9da08797f8e738b3d5d00,master,1522316828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ManageIQ/ui-components,0934ad8586e0aba8b3e9da08797f8e738b3d5d00,50c0344ba817c376fdbe56ad3d76feb9eefb31d3,master,1522248519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ManageIQ/ui-components,50c0344ba817c376fdbe56ad3d76feb9eefb31d3,df0e03348b16c0bfd5fb63ce94988a5ce1616081,master,1521641652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,20,1,0,21,1
ManageIQ/ui-components,df0e03348b16c0bfd5fb63ce94988a5ce1616081,9e7bbf259cbe3b7b8be054ee7763b2abbad38f92,v1.1.9,1521577099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,9e7bbf259cbe3b7b8be054ee7763b2abbad38f92,fe673cfce02898de20c22c26510330db220fa8bd,master,1521574588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,4
ManageIQ/ui-components,fe673cfce02898de20c22c26510330db220fa8bd,e2c54046480167553957299ed1bd442aaa283257,master,1521098234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ManageIQ/ui-components,e2c54046480167553957299ed1bd442aaa283257,c14394800b7942f49c868ebedd6e7bbb200513f7,master,1520955840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,c14394800b7942f49c868ebedd6e7bbb200513f7,7d1c36dc563289d5363b0f091aa23eaed755fa64,master,1520955721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5
ManageIQ/ui-components,7d1c36dc563289d5363b0f091aa23eaed755fa64,91b232e52e79a2729a8e29ba31c4908035610ac2,master,1520857270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,0,40,0,45,40
