ProjectName,Source
apache/commons-exec,\cite{deflaker}
apache/httpcore,\cite{deflaker}
cloudera/oryx,\cite{deflaker}
doanduyhai/Achilles,\cite{deflaker}
google/jimfs,\cite{deflaker}
hector-client/hector,\cite{deflaker}
jknack/handlebars.java,\cite{deflaker}
square/okhttp,\cite{deflaker}
undertow-io/undertow,\cite{deflaker}
zxing/zxing,\cite{deflaker}
apache/commons-collections,\cite{ekstaziISSTA}
apache/commons-configuration,\cite{ekstaziISSTA}
apache/commons-dbcp,\cite{ekstaziISSTA}
apache/commons-functor,\cite{ekstaziISSTA}
apache/commons-io,\cite{ekstaziISSTA}
apache/commons-jxpath,\cite{ekstaziISSTA}
apache/commons-math,\cite{ekstaziISSTA}
apache/commons-net,\cite{ekstaziISSTA}
apache/commons-validator,\cite{ekstaziISSTA}
apache/empire-db,\cite{ekstaziISSTA}
goldmansachs/gs-collections,\cite{ekstaziISSTA}
square/retrofit,\cite{ekstaziISSTA}
JodaOrg/joda-time,"\cite{ekstaziISSTA,Shi:2015:CCT:2786805.2786878}"
dropwizard/dropwizard,"\cite{Shi:2015:CCT:2786805.2786878,deflaker}"
joel-costigliola/assertj-core,"\cite{Shi:2015:CCT:2786805.2786878,deflaker}"
damianszczepanik/cucumber-reporting,\cite{zhangassertions17}
eBay/cors-filter,\cite{zhangassertions17}
fasseg/exp4j,\cite{zhangassertions17}
jhy/jsoup,\cite{zhangassertions17}
raml-org/raml-java-parser,\cite{zhangassertions17}
