date,repo,childSha,parentSha,childBranch,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,test_newHitLines,test_newNonHitLines,test_newFileHitLines,test_newFileNonHitLines,test_deletedLinesTested,test_deletedLinesNotTested,test_deletedFileLinesTested,test_deletedFileLinesNotTested,test_oldLinesNewlyTested,test_oldLinesNoLongerTested,test_modifiedLinesNewlyHit,test_modifiedLinesStillHit,test_modifiedLinesNotHit,test_nStatementsInBoth,test_nStatementsInEither,test_totalStatementsHitNow,test_totalStatementsHitPrev,test_totalStatementsNow,test_totalStatementsPrev,src_newHitLines,src_newNonHitLines,src_newFileHitLines,src_newFileNonHitLines,src_deletedLinesTested,src_deletedLinesNotTested,src_deletedFileLinesTested,src_deletedFileLinesNotTested,src_oldLinesNewlyTested,src_oldLinesNoLongerTested,src_modifiedLinesNewlyHit,src_modifiedLinesStillHit,src_modifiedLinesNotHit,src_nStatementsInBoth,src_nStatementsInEither,src_totalStatementsHitNow,src_totalStatementsHitPrev,src_totalStatementsNow,src_totalStatementsPrev
2016-08-17 15:13:54,square-retrofit,db061137bc7a757a527773e3024083750982051f,999c72be0468664c711159cd53deff79e62ee4a1,master,11,0,88,10,75,4,42,6,2,0,0,0,0,4190,4368,4291,4267,6865,6760,0,0,0,0,0,0,0,0,0,0,0,0,0,3019,3019,3019,3019,4482,4482,11,0,88,10,75,4,42,6,2,0,0,0,0,1171,1349,1272,1248,2383,2278
2016-07-21 03:53:50,square-retrofit,fccedbeb4d5181c926fff450cdf5c5116ef0eeaa,2704f63ab69d9cb5073aeb274a860317d2b23946,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4271,4271,4271,4271,6814,6814,0,0,0,0,0,0,0,0,0,0,0,0,0,2991,2991,2991,2991,4422,4422,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,1280,1280,1280,2392,2392
2017-02-15 04:18:33,square-retrofit,c4be2dd8e36a9fd031b28950c9ec29944c76c4e7,c516a34e107818c394f75997fe4a8cf10f299852,master,2,1,0,0,2,0,0,0,9,0,0,0,0,6333,6346,6344,6335,9292,9281,0,0,0,0,0,0,0,0,1,0,0,0,0,4736,4737,4737,4736,6451,6451,2,1,0,0,2,0,0,0,8,0,0,0,0,1597,1609,1607,1599,2841,2830
2017-05-09 18:15:12,square-retrofit,9d621ff8c512d5e28cb760ad62edfa2d3fe40292,522592bb11fc8aa1ee491c3e7a1fe55675c372cd,master,1,0,0,0,3,1,0,0,1,0,0,0,0,6350,6356,6352,6354,9301,9301,0,0,0,0,0,0,0,0,0,0,0,0,0,4746,4746,4746,4746,6460,6460,1,0,0,0,3,1,0,0,1,0,0,0,0,1604,1610,1606,1608,2841,2841
2017-02-21 22:09:16,square-retrofit,cf866d1243f99a845d6433b5f713740333812c29,1cc726f6a5efcc9e0d5e4b740acee62985d9d5c5,master,0,0,0,0,0,0,0,0,0,0,0,0,0,6344,6344,6344,6344,9292,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,4737,4737,4737,6451,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,1607,1607,1607,2841,2841
2017-02-21 21:48:44,square-retrofit,98f8b43a24cb016d87f1f92302f1ca2853c7c896,5916d285e1c6646a0632154958571378720df0d2,master,0,0,0,0,0,0,0,0,0,0,0,0,0,6344,6344,6344,6344,9292,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,4737,4737,4737,6451,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,1607,1607,1607,2841,2841
2016-07-19 01:19:29,square-retrofit,2704f63ab69d9cb5073aeb274a860317d2b23946,1ac625db0e593dd9d742eae2b68ef91747c45e33,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4271,4271,4271,4271,6814,6814,0,0,0,0,0,0,0,0,0,0,0,0,0,2991,2991,2991,2991,4422,4422,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,1280,1280,1280,2392,2392
2017-03-27 22:59:01,square-retrofit,bd8e38d406fff637ed69b1b312a8e439aa28b012,84c3bd70694aecf0a87a4c6e5935b40d2ac7426a,master,8,1,0,0,8,1,0,0,0,0,0,0,0,6336,6352,6344,6344,9292,9284,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,4737,4737,4737,6451,6451,8,1,0,0,8,1,0,0,0,0,0,0,0,1599,1615,1607,1607,2841,2833
2016-03-08 20:42:53,square-retrofit,09ce077dcb95fdfe914fbac97462d8c707e6820d,0104728017a5c1e2ac8d5fa474e70436f186dcdc,master,3,0,0,0,0,0,0,0,0,0,0,0,0,4040,4043,4043,4040,6314,6311,0,0,0,0,0,0,0,0,0,0,0,0,0,2799,2799,2799,2799,4070,4070,3,0,0,0,0,0,0,0,0,0,0,0,0,1241,1244,1244,1241,2244,2241
2017-02-14 02:48:40,square-retrofit,705b43c9d1c74dafa0cf5213df1e1a6ebda44745,3a9d4b77c60e3dfe3a98e0a74a59371014cad7ab,master,0,0,0,0,0,0,0,0,0,0,0,0,0,6335,6335,6335,6335,9283,9283,0,0,0,0,0,0,0,0,0,0,0,0,0,4736,4736,4736,4736,6451,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,1599,1599,1599,2832,2832
2016-11-12 05:31:24,square-retrofit,7c666615fb8ea10b4a958c416ef23180f2d67fd1,32ace0894882a98f56cd509fee1bcc7dff804347,master,39,0,0,0,2,0,0,0,0,0,0,0,0,4329,4370,4368,4331,6947,6908,26,0,0,0,0,0,0,0,0,0,0,0,0,3094,3120,3120,3094,4590,4564,13,0,0,0,2,0,0,0,0,0,0,0,0,1235,1250,1248,1237,2357,2344
